TDEP        DTCO       DTSM       PR         TICO       TISS       TVDBML             VP         VPVS       VS
2099.9125977 -9999      -9999      -9999      -9999      -9999      -96.09309290981007 -9999      -9999      -9999     
2142.128   -9999      -9999      -9999      -9999      -9999      -53.87811102281135 -9999      -9999      -9999     
2142.281   -9999      -9999      -9999      -9999      -9999      -53.72552442315158 -9999      -9999      -9999     
2142.433   -9999      -9999      -9999      -9999      -9999      -53.57318196223512 -9999      -9999      -9999     
2142.585   -9999      -9999      -9999      -9999      -9999      -53.42083950150136 -9999      -9999      -9999     
2142.738   -9999      -9999      -9999      -9999      -9999      -53.26849704095159 -9999      -9999      -9999     
2142.89    -9999      -9999      -9999      -9999      -9999      -53.11591044202672 -9999      -9999      -9999     
2143.042   -9999      -9999      -9999      -9999      -9999      -52.96356798184353 -9999      -9999      -9999     
2143.195   -9999      -9999      -9999      -9999      -9999      -52.81122552184478 -9999      -9999      -9999     
2143.347   -9999      -9999      -9999      -9999      -9999      -52.65888306202878 -9999      -9999      -9999     
2143.5     -9999      -9999      -9999      -9999      -9999      -52.50654060239632 -9999      -9999      -9999     
