TDEP        DTCO       DTSM       PR         TICO       TISS       VP         VPVS       VS
2162.4032  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2162.5556  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2162.708   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2162.8604  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2163.0128  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2163.1652  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2163.3176  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2163.47    -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2163.6224  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2163.7748  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2163.9272  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2164.0796  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2164.232   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2164.3844  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2164.5368  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2164.6892  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2164.8416  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2164.994   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2165.1464  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2165.2988  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2165.4512  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2165.6036  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2165.756   -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2165.9084  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2166.0608  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2166.2132  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
2166.3656  -9999      -9999      -9999      -9999      -9999      -9999      -9999      -9999     
